,Location,GDP 2022,Total Population,Male Population,Female population,Households-Total,Sq Km,Persons per Sq. Km,PCI 2022,number of students enrolled in secondary schools,HDI,"Agriculture, Forestry & Fishing",Mining & Quarrying,Manufacturing,Electricity Supply,Water Supply; Waste Collection,Construction,Wholesale & Retail (Motor Repair),Transport & Storage,Accommodation & Food Service,Information & Communication,Financial & Insurance Activities,Real Estate Activities,Professional & Technical Services,Administrative Support Services,Public Administration & Defense,Education,Human Health & Social Work,Other Service Activities,Financial Services Indirectly Measured,GCP,Internet Penetration,Catholic,Protestant,Evangelicals,AIC,Orthodox,Others,Muslims,Poverty,Purchase Stock (%),Own Production (%),Gifts (%),electricity access Percentage,access to sanitation
0,BARINGO,93334,666763,336322,330428,142518,10984.62209,60.6996758319976,130030,65665,0.609,32591,226,4460,119,392,2594,2833,15686,262,2713,1584,3700,1812,1400,12156,6558,2962,1718,-431,93334,15.3,122000,290000,111000,40000,970,28000,5241,36.3,77.2,16.0,6.8,0.287,60.7
1,BOMET,194798,875689,434287,441379,187641,2507.07622,349.2869474865826,210134,107935,0.613,103861,1116,15088,380,596,15513,15551,17994,1181,1258,1246,4232,2171,1284,12041,9709,3317,2725,-1464,210134,16.6,129547,387001,225000,56000,2000,32000,997,38.1,70.1,24.9,5.0,0.221,85.9
2,BUNGOMA,255699,1670570,812146,858389,358796,3023.93798,552.4484996216754,145439,203195,0.618,107476,546,8342,617,834,7993,12505,38652,2546,4690,3498,11496,3785,2308,19915,22167,4390,5226,-1286,255699,13.8,291998,715000,467000,88000,5000,40000,21687,35.0,74.5,18.7,6.8,0.218,83.6
3,BUSIA,115548,893681,426252,467401,198152,1699.78361,525.7616291523132,121582,88549,0.594,39408,530,5746,211,601,11332,3196,15451,202,1288,1618,4998,1822,1077,11808,10185,3123,3450,-498,115548,13.5,266299,257869,246000,60000,3000,18000,16909,45.1,77.5,19.0,3.5,0.262,82.2
4,ELEGEYO-MARAKWET,120745,454480,227317,227151,99861,3032.05926,149.89152949471048,247276,59219,0.62,73655,873,2698,136,280,1524,2471,15031,259,1621,431,3593,794,636,8198,5278,2465,911,-111,120745,14.2,231873,144855,46334,12461,256,7394,1141,36.9,62.1,28.0,9.8,0.247,67.9
5,EMBU,187934,608599,304208,304367,182743,2820.67485,215.76361415779633,292827,62930,0.65,50858,409,4266,19161,1295,17190,11619,39527,1890,2674,3569,8281,2308,1508,10561,6993,3763,2956,-892,187934,22.1,163196,221437,137315,50957,3603,12451,2861,23.7,76.7,15.8,7.5,0.473,90.4
6,GARISSA,68481,841353,458975,382344,141394,44753.20037,18.79983985601162,75662,23970,0.494,19982,1005,1418,456,1018,3049,6473,3394,664,966,1265,4508,284,536,14749,3777,4166,1280,-509,68481,12.2,7919,4253,800,714,50,4819,815755,51.2,91.5,3.9,4.6,0.24,44.3
7,HOMA BAY,162195,1131950,539560,592367,262036,3152.52616,359.06125518082933,134223,143550,0.573,69488,767,9323,186,628,3512,5955,21699,1492,2138,1408,6188,2942,1560,12508,13792,4588,4531,-510,162195,15.2,183946,433126,240000,200000,6700,28000,7469,27.9,77.0,15.3,7.7,0.185,74.5
8,ISIOLO,31486,268002,139510,128483,58072,25349.18759,10.572409827671326,102008,10444,0.554,4070,72,579,247,271,3862,3312,2320,600,745,626,1929,482,674,7676,1264,2050,962,-255,31485,14.2,32608,18583,7669,1709,200,3688,193775,35.7,91.9,2.1,6.0,0.406,62.1
9,KAJIADO,187411,1117840,557098,560704,316179,21871.18482,51.110171177274154,151330,59102,0.609,16966,5036,10751,5857,818,19038,10370,24045,4942,7010,4164,32857,5656,3928,14881,6991,5544,3811,-2230,187411,33.1,204086,461955,260678,53865,4162,60271,26779,33.2,97.0,1.5,1.5,0.679,80.1
